,Rating
89,"I've seen this film many times and I am continually dazzled by how fresh and pure the visuals are - thanks to the work of cinematographer Robby Müller, who provided German director Wim Wenders with one of his most beautiful films. The sense of scale and beauty invoked by Müller's lens deserves more praise than Wenders himself, because this is primarily a mood-film, one that subordinates its gentle human story to the luscious minimalist beauty of the desert. The slight story plays second fiddle to the brilliant camera-work and haunting music by Ry Cooder throughout until the last part. Here the film's visual beauty is undermined by an overlong and overbearing encounter between two main characters in a dark and dank setting. Sadly, this impacts the effectiveness of the film greatly, leaving the viewer alienated by the claustrophobic nature of this latter part in contrast with the breathtaking sense of space conveyed earlier. However, the acting is excellent, especially Harry Dean Stanton as Travis. A flawed masterpiece."
90,"It gets off to an intriguing start, as a man walks in from the desert after missing in action for four years. The first half of the film, which centers on Stanton's relationship with his brother (Stockwell) and his family, is fairly well done. As Stanton heads south to search for his abandoned wife (Kinski), so does the film, concluding with Shepard's pompous monologues. It's hard to understand what attracts a babe like Kinski to Stanton, whose character is bland, selfish, and some thirty years older than her. The pace is very leisurely, with Wenders showing no interest in the art of editing. Coder's score consists of about three notes repeated ad nauseam."
91,"I thought this was just an astounding character study, and it comes equipped with a group of excellent actors and a director who does not bow to commercial demands in terms of ""dramatic structure"".The film's story concerns a drifter named Travis (Harry Dean Stanton) who is re-united with his brother Walt (Dean Stockwell) who has been raising the drifter's son with his wife (Aurore Clement). There are some secrets in Travis' past, specifically what he has been doing for the past 4 years and how he and his wife (Natassja Kinski) ended up being separated. After heading on a journey to try to re-unite with her, bringing his 8 year old son (Hunter Carson) in tow, Travis must face the depths of evil within his own soul and try to discover if it's even possible to rebuild a life that was once destroyed.I think this is a marvelous film in terms of the execution.... it really keeps you interested even far beyond the point where the ""secrets"" are being revealed. In many ways the film plays on themes of voyeurism -- why are we interested in this story? Why do men go to Jane (Kinski) to talk about their issues? I think this film might mean something different to each person who sees it. The film is really sad in the sense in which it shows the consequences of some of our actions, how we destroy our own happiness. Jane tells Travis that she had to send Hunter away because she did not want to fill the void in her life with her son. Yet we know already that Travis cannot fill that void either. I think the film is not really ""saying"" anything -- it's more asking us to question the way we treat others and to realize that our relationships are the things that define us in many ways. I see this in Jane/Travis' relationship and also in the emerging father/son relationship between Travis and Hunter. For a few days Hunter is actually calling both Walt and Travis ""dad"" -- this awkward situation is something that work-a-day good guy Walt thinks is perfectly fine, but Travis I think realizes that the ""void"" cannot be filled with two dads.Wonderful film and I look forward to repeat viewings."
92,You can say many great things about the film but Ry Cooders soundtrack truly makes it one for the books. Years after seeing the movie I bought a CD of Cooders' movie songs and just from those songs I could picture and feel the whole movie as if I was watching it. This is a perfect example of what a soundtrack can add to a movie. One might feel that a movie producer heard some of Cooders' songs and wrote a movie about the way the music made him feel. Casting is another bonus. All the actors seem well suited for their roles and when you combine that with an atypical Hollywood ending....well one is sadly but pleasantly surprised.
93,"Everything about this movie is magnificent. The acting, the cinematography, the direction, the soundtrack (most of all), the writing, and everything else is just beautiful. The most beautiful story I've ever seen on the screen. There's nothing better than this movie for me.10/10!!!!!!"
94,"Wim Wenders's Paris,Texas is a film that is narrated through road trips. An utterly lost man (in every sense of the word) is tracked down by his brother and reunited with his son. On discovering a part of his old self, the man takes on a journey to bring his son back with his estranged mother. What the viewer doesn't know till the very end of the movie is as to why this family had been separated in the first place. The film's pace is quite in contrast to that of the fast and frequent road trips on screen. Although the slowness and did get to my head at times, I found the film quite riveting on the whole. The barren roads of Texas contrasted against the busy highways of Houston is an interesting feature of this film. At heart, ""Paris, Texas"" is an intense film about human separation and more importantly, reunion."
95,Slow and mopey and whispery and sulky and sullen and so boring I might never recover. I can't believe people find this entertaining. I'm legitimately mad that I wasted NYE sitting through this dull movie.
96,"A movie by Wim Wenders on IMDb's Top 250 list, starring Harry Dean Stanton is bound to be amazing, and of course, it is!It's a very well-written and well-acted movie, with lots of emotional punches and great character work, accompined by the actors incredible job.It's a film that can be viewed over and over, and, very likely, one of Wenders more accesible work, whereas he usually makes very deep and artistic films that might not suit everyone.Overall, a masterpiece!"
97,"Such a beautiful movie & the script was outstanding. Paris,Texas is now one of the greatest movies I've ever seen & I've seen a lot of films.
The music was incredible, the directing was unique. Buy your copy of criterion and enjoy the masterpiece, 11/10 I high recommend you watch this."
98,"Yesterday I re-watched this incredible well crafted piece of art. I saw it for the first time over three decades ago. At the time, I remember to think it was just an ""ok"" movie with great cinematography. Now re-watching it, I realized this film above all is a wonderful poem."
99,"I love this film. I learned a lot listening to director Wim Wender on the DVD commentary. Ry Cooder's score of ""Dark Was The Night"" (1928) by Blind Willie Johnson is perfect. With everything filmed on location, the final scenes in the peep show and hotel are perfect. A must see."
100,"The film builds quite well, and half way in........i felt it was peaking as the son and father are heading off together. I was excited for explanations and good payoff's upon the reunion. But it just wasn't.....it was weak and kinda tedious. There was just nothing interesting about the final reveal/discussions.The final couple minutes are nice but i won't be watching again."
101,"I have been in love with Wenders' Wings of Desire since I first saw it several years ago, so I taped this movie off of HBO2 or some such channel. I could NOT find this at a video store, and they don't sell it in any format anymore. The only thing left to be sold is the soundtrack, which doesn't make any sense to me (although it is a good soundtrack). More than one person thought that this film was an utter masterpiece, so why keep it off video? It won huge honors at Cannes, but it is completely unavailable. I loved this movie. It made me cry and it made me feel alive. The scene where Travis confesses his sins to Jane through the glass is so perfect and so affecting. Please, somebody, release this masterpiece to DVD. I want to see it again and share it with others."
102,"Brilliant cinematography, brilliant soundtrack and a moving and ethereal plot. Travis' and Jane's audio confrontation at the sex parlour is one of the most memorable interchanges in cinema. Rates as one of my favourite films."
103,"The art as others have said, is great - the Ry Cooder soundtrack, linear, no-frills screenplay, and heartfelt acting. But the story itself leaves a lot to be desired.The main character (Travis) comes out of almost literally nowhere and we find out he's abandoned his wife and child who was subsequently also abandoned by his mom, Travis' wife. Meanwhile, Travis' Brother and Sister-In-Law have taken in the child and love and care for him like he was their own. The boy in now part of their family. Lucky boy.Travis' brother takes in Travis who needs time to recover from four years of apparent drunken disappearance somewhere in the desert. Meanwhile Travis gets a chance to at least get to know and possibly reconcile with his boy. Lucky Travis.In getting to know his boy, Travis starts meeting his boy at school and at some point, he and his boy playfully match each other's strides and steps on the way home. This part is pretty cool and I agree with one reviewer who said that walk home should have ended the movie, fading as they disappear on their way to the boy's homeBut no. Instead, Travis who is basically a stranger to his boy takes him without the boy's family knowledge or permission to go find Travis' wife and the boy's mother. Basically kidnapping. The boy's mother knows where he's been living but has made no attempt to connect with him.So, is Travis some kind of emotional hero by basically kidnapping the boy he had abandoned from the boy's loving and dedicated family to find his wife and the boy's mother who also abandoned the boy? Leaving the boy's family desperate and to know where the boy is and deeply hurt once they find out?The mother it turns out works in a peep show. The possible reconciliation between Travis and his wife had possibilities, but there was little emotional energy there. Instead, Travis leaves his boy in the hands of the boy's stranger-mother and leaves again for who knows where.Unrealistic and emotionally empty story. Any normal boy would have longed to be back with the family that was devoted to him and actually loved him. As one reviewer said, this is a flawed story of a guy, Travis, sacrificing his boy on the altar of his attempt at his own restoration and redemption.The glitter of art cannot overcome your gut and conscience when the story doesn't make sense and runs over characters you care about without explanation or solution. The movie left me flat."
104,"This visually striking movie has something about it that makes me fall asleep within the first fifteen or twenty minutes. I'm not sure why, because whenever I resume it I always enjoy the cinematography. The characters are boring, sure. But that's never been a problem with big budget movies that have little character development. These people are very developed, they're just not interesting at all.Wim Wenders' movie is either very overrated or extremely underrated as a work of art, a classic and Criterion worthy. I am fascinated by the idea of a man wandering into the world from the middle of nowhere, but where the story takes us is boring. The early eighties look of the movie along with the cars and clothing makes me resent it even more."
105,"I was marveled with this astounding movie, the loneliness of it, the desperate and passionate feeling all around. This movie ranks on my top 5 favorite movies of all time. It has to do, also, the fact that I identified myself through the characters especially 'Travis'. I've experienced that same kind of love and desperation, which, somehow, made me feel that it's o.k. to live this life through passion.The Cinematography is clever, and the direction is carefully driven. the screenplay, along with the soundtrack and cinematography might be the tip-top of the film.If you happen to see it on a video store, rent it, buy it, don't hesitate you won't regret, this is a must see."
106,"This film deals so well with its central story of a man returning to his life,from a self-imposed isolation. The use of locations, and photography ,particularly in the earlier sequences of the film, just capture the sense of the wilderness ,both within and without-side, this person. When Travis is staring away down the railroad tracks into a dry ,dusty infinity, the wind is blowing, it just burns the image into your mind. I find something so pure and beautiful in these bleak, desolate vistas. In direct comparison ,the film also has great humanity and warmth. Travis earning back his sons trust, is particularly touching.This film is a keeper, it just works so well, and never disrespects its audience, to be fair it is very taste specific, so it wont be for everybody, but if it works for you, it will truly touch you."
107,"Few films have moved me so deeply as ""Paris, Texas"". It's a  story of trying to rebuild  relationships ,the battle zone between men and women, and the undying bond between fathers and sons. All the performances are excellent: Harry Dean Stanton as a drifter brought back to reality to make amends with his family, Nastasha Kinski playing a southern belle (!), and young Hunter Carson's as a young yet brave lad willing to take an adventure by taking a road trip and getting to know the dad he never knew.  One of Wim Wenders ""road movies"" and one of my personal favorites.  Ry Cooder's soundtrack adds to the films mesmerizing mood.  ""Paris, Texas""  deservedly won best picture at the Cannes Film Festival '84, it's also one of the few films that made me cry.  Most highly recommended. 10 out of 10."
108,"...because I pride myself on having never teared up watching any movie or TV show, but the last 20-30 minutes of Paris, Texas left me an emotional wreck."
109,"Romantic view about America by Wim Wenders. In my opinion this is one of the most beautiful, most visually poetic visions about the US. It has one of the best soundtracks ever... Ry Cooder goes the extra-mile on this one. a movie full of metaphors, and odes to America. There's not much I can say about it, aside from: see it with your own eyes. It feels like a Jack Kerouac romance and it looks like a Wim Wenders movie.Land of the Plenty, feels like an attempt to recreate this with a political feeling. My opinion is that it's not near as good as this, this is the real thing. A great American movie, done by a great European Director."
110,"I'm going against the tide here.The story, for me, is absolutely plain. Not only that, the movie, itself, is unnecessarily long and boring. There are literally dozens of shots where you find yourself fast forwarding because nothing relevant is happening: long walks in the desert, car rides, home videos, more walks, even the final scene, that you expect is gonna somehow make up for the over-two-hours-long tedium - it does not! - is boring.The movie ends, perhaps predictably, in a rather anti-climatic - I might add stupid - fashion, which, for me, is also a turn-off; why would someone who, perhaps not knowingly, is atoning his past shortcomings, and the hurt that he'd caused to wife and kid, kidnap is own son, taking him away from where he's loved and cared for, and return him to his mother, who had abandoned him as an infant and, let's face it, probably still hasn't really got it all figured out, and then walks out on both of them?But I guess some directors (or writers) love it when a movie does not have a happy ending; that way they can call themselves ""realistic"" directors, or something philosophical and hipster like that.To summ up, you find yourself thinking how bad do the other movies in that decade have to be so that ""Paris, Texas"" can stand out."
111,"I'm not a film snob-- mostly a film buff (there's a difference.) I'm also a film student, and many other inspiring directors may thing that I should be flogged in the testicles with a bull pizzle for never seeing a Wim Winders' film. Now that I have, maybe they're right. The film was the embodiment of isolation. Character action (Travis getting into the back seat of the car, Travis not speaking, Travis getting rejected from his son when he wants to walk him home, etc,) as well as lighting. Notice when Travis's brother (an impeccable performance by Dean Stockwell) takes him to the 'Rancho Motel' near the beginning of the film. A dark green tint is used, showing how distant this all seems in the eyes of the protangonist. Once they're actually in the room, the walls are pale, white, bland-- like a mental hospital. But when Travis looks into the mirror we see a cool blue, and when his brother appears we see the same. The super-8 footage is the biggest heartbreaker. The child, distancing himself from his father, wakes up... No more than that, I hate spoilers. As I've mentioned, Stockwell was amazing, almost very cool. We know he loves his son, but he really cares about his brother no matter what. Because I'd never really known where he came from outside of ""Blue Velvet,"" it was very interesting to see. Harry Dean Stanton I've always known, and has always been on my top 10 underrated actors of all time list (I'm not giving the whole list, sorry, but I will say the writer of this film, Sam Shepard, is also on it.) He never needed to speak, his facial expressions and body movements often did the speaking for him. His name was Travis (like ""Taxi Driver,"" but don't let that throw you. It's a different isolation here folks."") Travis is apt because he was a travesty, he was messed up. He sinned and he wasn't even seeking forgiveness, rather, solace. (When his bother is upset with him about flying, he says ""It's alright if you leave me."") Apart from that, this film needs a DVD release. No extras, fine, but the print that I saw was the VHS crapped out version... With cinematography like this, it deserves more."
112,"If you haven´t seen this movie yet, I truly envy you, because you are in for a treat. Relax and let yourself be drawn in by the slow pace and you will be absolutely lost for 2 1/2 hours. This (sort of) road movie about (lost) human relations is so powerful, that you will be affected way beyond the normal time that the average ""easily digested and forgotten movie"" does. It touches your soul, it truly does. Give it the time and the calm it deserves and it will enrich your life!"
113,"I first saw Paris, Texas when it was released in 1984. I was moved tremendously by Wim Wender's haunting masterpiece. His use of height imagery is amazing. The scene with Travis following the shadow of the plane instead of the plane itself is one of the best I've seen. A few years ago, I picked up my own copy, and have since watched it several times. It continues to move me. I simply love this film. It's beautifully acted, with a superb soundtrack. A must see."
114,"This is a movie about ruining a kid's life. It is not endearing nor a love story. People finding the beauty in this story aren't right. That said, visually it gets to look pretty good at times but it's uneven in its cinematography and acting. I can confidently say it's overrated."
115,"From seeing the poster and the summary of this film I thought it wouldn't be great and maybe slightly boring. However, I was very much shocked by the movie. It had a great story and, I felt, maybe the audience go through many emotions. I had not heard of this movie before I watched it, but now I think that this film deserves to get out there and become a classic. Basically to some up everything, I really do think that you should watch this film. If you like dramas then you'll love this. I don't want to give the ending away, but there are some certain scenes that will move you in a way that you will love. So again, watch this film for definite."
116,"One of the greatest film titles ever, one of the greatest opening sequences ever, Paris, Texas is just that-a clash of opposites, of cultures and concepts. German director Wim Wenders, facing an American cinematic idiom: the road movie. An opening sequence where a man in a suit appears in the Texan desert(later the desert is contrasted with the city, LA). The man is lost. He is searching for his wife and child. He could be a cowboy at odds with the modernity. Great acting, great soundtrack. He finds his son and slowly he is saved. He finds his wife in a Houston strip joint and, separated by a one-way mirror(what a metaphor!), they save each other. And then off again into the desert."
117,"This is a movie that hosts a canyon of mordant themes. A beauty of it resides in the mastery of how simply they are cultivated and interconnected.Travis, now an all-time favourite movie character of mine, is a man that came to be able to take root in that wild, alone world at a late period of his life. Through, of course, love. Love of no hesitation, no limitation. Love, as a wholehearted presumption of infinity about something definitely finite. It grows so pervasive and intense to fill entirely up the old (and thirsty) and large soils of his existence. So much that its absence, the moment of the disroot, gradual and sudden at the same time, is enough to make a bone dry desert out of that terrain greened with love. Then, the inevitable drive (inveitable from being human) to take root whatever may come possesses his fresh and volumnious and decaying emptiness, and brings him to the actual desert that resembles his lost soul with the deep-down, unconscious beacon of hope to uncover (presumably) the authentic roots of himself: Paris, Texas. In what? In the lost history of his lost family. It seems thus much like a deep drilling to the depth of his existential roots as an odyssey rather than a journey. The curious thing is that Travis' having pinpointed that actual desert (by buying it) much before he lived the existential desert. It suggests more than it does outloud, I believe. If you think about it a bit more deeply, it is not a story about a strange, traumatised man but, through his moments, an invitation to take courage to reflect on the depth and breadth of our existential roots in that world.Another beauty of the movie, that strikes me, is its cinematographic economy (or fit-ness as one may like) and the feeling of ""as it should be"" that it leaves behind. The vibe I try to stress is, I guess, captured especially in or after the modest darkening passages between the scenes. It's not long, it's not fast. Not at all. It is at ""that"" measure so as to make you go caught the stream of the story.I don't even bother myself to mention the mastery of actings.This is a movie made me (a person who tries to see movies whenever possible) thought after: finally ""a movie"", after a considerable time! It contains everything what I come to seek in movies after years and more. That more was there to broaden my horizon in a way bestowed on the seventh art.I would suggest you to watch this masterpiece and rewatch it under a light that at least kept me if not already you hitherto."
118,"This movie was miserable.  The dialogue was too much, the film was too long, nothing much happened.  Harry Dean Stanton and Kinski are not believable as a couple, being that she would have been in her early 20s at the time of filming and Stanton would have been 58 years old.Remember critics always give awards to bad films.  The English Patient got 8 of them.This post is required for a class about film.  Hope you see it, Herr Genco."
119,"Long, artsy and beautifully photographed, 'Paris, Texas'(1984)stars the wonderful character actor Harry Dean Stanton as a drifter who re-appears after a four year unexplained absence and seeks to reunite with his young son and wife. Stantons performance was worthy of an Oscar nomination and Ry Cooders soundtrack perfectly captures the mood of the film. If action is what you seek, this critically acclaimed movie is not for you, however one of the better character study films around. Great screenplay by Sam Shepard"
120,"By the end of this movie (no spoiler here), the plot kicker, the pain of love won and lost wrenches the soul. The title plays on this duality; Paris (France) and a plot of dirt in Paris, Texas. Hunter (the son of this ill conceived union) innocently asks if they were to live on the plot of dirt he sees in the picture Travis (Harry Dean Stanton) carries around. Texas vs France, get it? The players are excellent, with slow paced responses and steady acceptance unusual in intensity but consistent with the style of the movie. The realism style of cinematography balances well with the storyline. A nearly great movie, marred by a bit too much sentimentality and some inauthentic plot elements."
121,"Maybe, the best movie I`ve ever seen. Surely, it`s in my TOP-TEN. Desperately recommended."
122,This movie was seen the first time around 15 years ago and touched me with a way that left me with a deep reverence for the extremes of emotions it portrayed..... I can honestly say that this film made a significant impact to me and my life in a way that was respectful of the delicate balance we are all in as we continue our journeys of existence while alive. I would be interested to know if this had similar affects to others especially as I am an English person living in the United States. The movie has and will always give me a torturous and heart wrenching view of the extremities of relationships and how love can be so pleasurable yet so painful as well.
123,"'Paris, Texas' happens all in California and Texas, and uses some of the iconic landscapes in the American cinema like Los Angeles viewed from the heights, the Mojavi desert or the endless Texas plains. These are filmed in such a vibrant manner and combined with the original music by Ry Cooder that they became icons by themselves, in one of the most American films I have seen, made by a German director who we feel that he really loves America.Child-to-adults relationship movies are not really my preferred genre. I often find them exploiting the sentiments of the viewers and the ingenuous style of acting of children at the expense of real feelings. Here however the acting of Hunter Carson is really so direct and so true that I am almost happy to see that he did not develop a film actor career and will remain in memory for everybody with this role. Maybe he did have some conversations with Dean Stockwell, who also was a child actor who became a professional, one may just guess.Acting is really fabulous in the movie, beyond Carson and Stockwell we have Harry Dean Stanton with one of the best performances in his career. This story of lost memory and getting back and putting together a broken life is simple and moving, we are not told details that are not important for the relations between the characters, and even if the ending may be disputed from a social or moralistic point of view (is really the runaway girl working in a men's club the best mother for the kid?) it makes sense from an emotional point of view.This is one of the best films of director Wenders together with 'Himmel uber Berlin' and 'Buena Vista Social Club'. Three memorable movies, and so different one from the other. He is one of the best."
124,"Paris, Texas is tells the adventure of a wanderer named 'Travis' (Harry Dean Stanton) is found in the middle of nowhere by his brother who helps pull his memory back together; a memory that haunted him and started four years ago. Once his memory comes back, Travis starts to fix up his haunted past. Many reviewers say this film is 'near-perfect', but I strongly disagree... it is 'perfect'! The film is so beautiful, so sad and so haunting, especially the soundtrack by Ry Cooder. Some people may say that it dragged-on but I also have to disagree on that one because I thought the pacing was perfect, since it makes the viewer become more familiar with the story and the characters. Hary Dean Stanton's performance as the haunted Travis is Finally, the ending of the film is absolutely... well... left me speechless.Paris, Texas is a film that we rarely get these days, it's a film like no other."
125,It's the best movie I've ever watched. It's kind of a movie that can change your life. Cheers Travis.
126,"beautiful shots, gorgeous landscape, nice idea for a plot but really far to slow to drag viewers in. The ideas behind the film are very interesting and at first you watch with all intention of following things until the end; the strange silent man (Travis) is intriguing enough in the beginning to catch all your attention. However as the story progresses, or rather fails to, Travis' silence becomes more infuriating than a helpful and necessary plot device. i find you just cant sympathize with Travis at all, and he just ended up as being irritating. Regardless of that, the real star of this film was the little boy who played Travis' son (name? unsure). fantastic acting from him, but all said and done, you'd be better off watching this film on mute."
127,"I'm not sure what's about the movies of Wim Wenders. When I saw the first time ""Der Himmel über Berlin"" aka ""Wings of desire"", I thought to my self: ""Nice movie, but what else?"". I tried to capture the magic and the atmosphere of the movie but I could find it. A few days later I thought about it again and then I felt this unexplainable attraction of this movie. The same way it was with ""Paris, Texas"".Only a few days later I understood the message, it's a kind of philosophical point which is the fascination for this movie. Any way, it's a good movie and the music is very characteristic for the scenes of the movie, for example when Travis walks in the desert."
128,"Wim Wenders was one of the filmmakers who formed new German cinema in 1970's and his film Im lauf der zeit (In the Course of Time) ,alongside with Volker Schlöndorff The Tin Drum, is often seen as one of the finest representatives of the movement. In 1984 after becoming quite famous in Europe Wim Wenders went to America to produce his first film outside of Germany. Paris, Texas is a masterful road-movie, which was Wenders' favorite genre; he even made a road-movie trilogy in 1970's (Alice in the Cities, False Movement and In the Course of Time). This slow-paced, mature, one of the director's most acclaimed films and his most accessible film, requires heart, certain maturity and patience from its viewer.A quiet man, lost for four years walks in the desert, due to dehydration a man picks him up and takes him to a hospital. Soon the quiet man is taken in by his brother. Later on the man tries to put his life back together and remember what happened between him, his wife and, his 8-year-old son.Paris, Texas could easily be a film which makes one to die for a ticket to the States. The landscapes, the gorgeous images reinforced by sentimental and honest music make us see into the true soul of America. 1980's and Americanism can be seen everywhere in the film, it is cleverly and precisely created: cokes, sodas, American cars, country music, clothes and landscapes. The construction of state in Paris, Texas is incredibly well handled and the contrasts Wenders has created are astonishing.This profound film about a quiet man, lost woman and the unification of a disintegrated family really drills down to pure emotion. Difficulty of communication and losing one's identity have both been very important themes for Wim Wenders already in Im lauf der zeit (1976). In Im lauf der zeit the two men don't know how to talk to each other, how to talk about your worries, memories and past. But in Paris, Texas the theme of difficulty of communication was taken to a new level: what can you say to the people you once left behind? How can you ever make up the mistakes once made? It's about the impossibility of understanding others, how can you relate to a person with completely different emotions. The change of identity is a scary thing and this theme culminates in the scene where Travis (the quiet man) tries different kind of outfits, trying to find the right suit for his new identity.Alongside with the themes of identity and communication, Paris, Texas is an emotional film about loneliness. The difficulty of understanding and empathy. Perhaps Travis can't make up the mistakes he once made and he is alone. He finds his long lost son and his wife, but understands that he's unable to live with them and is once again left alone, lonelier than ever before. Paris, Texas is a timeless film about loneliness and the later film by Wenders Wings of Desire (1987) can easily be seen as an antithesis for it; it has got certain eras, ages and a history. This profound theme of loneliness culminates in the unforgettable images of men sitting, standing and walking alone in Paris, Texas.In the end Paris, Texas grows out to be a mature film about family, the disintegration and the unification of it. It's a smooth and quality film in style, thematics and content. The delimitations and states are important and full of significance. After seeing the film twice I consider it as a very touching, melancholy road-movie about soul-searching, identity and family. It's a very good film, even if it's not Wenders' finest. I strongly recommend people to get to know his earlier and later German production. Wings of Desire (1987) and In the Course of Time (1976) are for instance two unforgettable masterpieces."
129,"I saw this movie in London back in 1984,I was 19 or 20 at the time,now I`m 36 and no movie affects me more personally.I was on my own that first time and I have never shared the experience with anyone,no friends none of my girlfriends not even my wife,whom I feel would not really understand it. I dont think before I saw it I had realised what a fine actor Stanton is,although I had seen one or two fine performances from Kinski and I became a Ry Cooder fan after Southern Comfort.As for Wim Wenders I have always looked out for his movies since (I especially enjoyed Himmel Uber Berlin/Wings of Desire).I should point out that I always find the climactic scene in the booth almost unbearable . For some reason I have never owned Paris,Texas on video,having occasionally updated my Television copies of it,I sincerely hope we will soon see a DVD that does it justice.Please."
130,"This was painful to watch. Maybe like fine wine this movie will get better with time. But I,as a 24 year old at the time,had little use for this slow,(how slow does radium decay?) painful, melodrama."
131,"I think that Paris, Texas is an absolute gem. This film plays on many levels, and relies on one's imagination to fill in pictures while listening to the dialogue. Harry Dean Stanton and Nastassja Kinski are just mesmerizing together in the second half of the film. I've about worn out the VHS tape that I taped off of the Movie Channel. Hat's off to Sam Shepard! What a writer!"
132,"I recently watched this movie again for the first time in about 15 years, this time on 1080 HD.I have to say that I had forgotten the second half of the film almost entirely; it's that kind of film.But - the cinematography alone is worth watching/re-watching this film for - sumptuous colourful and beautiful. Fantastic to look at virtually every frame. The Music by Ry Cooder is one of the best movie soundtracks in the history of cinema; it's simply brilliant.The plot (or story, if you like) of this film is essentially very simple. You get to the end and you say to yourself ""yes, of course"". It's not about loss, separation, grieving, that would be too obvious. Remember - this film comes from a time before movies got clever with their audiences. In the end this film is what it seems; about a father who has to come to terms with, and do something about, the fact that he wasn't fitted for a relationship with the mother of his son. There aren't many other themes (although one would be the sub-story of Stantons brother and sister in law who have adopted the boy and see him pretty much as their son. The sister in law wonders what will become of their relationship if the boy goes away). The only possible outcome is the one arrived at in the final memorable and superb monologue.The thing for me about Paris, Texas is that; like Harry Dean Stantons' character - time changes a person. Since I first saw this movie in the cinema in 1985 my age has doubled and I now have a child of the same age as the boy in the film (also wonderfully acted). I see this film very differently now to the way I viewed it back then. Any father would see resonances from Stanton to their own life. I love this film for the way it makes me think about the way I relate to those who are close to me; Can I handle it? What would happen if I couldn't? Nevertheless - Paris, Texas is not for me one of the greatest films ever made, and it is not in my collection of DVD/BluRay. Why? Yes - its set in a decaying landscape both emotionally and physically. Yes - Stanton is wonderful as the lost guy coming out of the wilderness, BUT. Near the beginning of the film the doctor extorts money from Stantons brother - who is a long way from home and finds that he has to pay the doctor in order to complete his mission. The whole film is like this; there is feeling of moral and emotional blackmail running right through and all the adult characters have been afflicted, damaged if you like, by emotional blackmail to a lesser or greater degree. The only one who hasn't is the little boy. These tensions are revealed but not resolved. Even though its obvious that the issues cannot be resolved you get to the end and you feel irritated when indeed they are not. The question which you feel ought to be the central one - why Stanton walks out on his former life - turns out not to be - it's only the spark that sets the flame. The viewer is thus caught up in the emotional blackmail too; we want to see resolution - but.... However, I guess it is clever for that....I liked the film and I would highly recommend it. I haven't read any other reviews here on this movie (and I will be interested to do so as soon as I post this...). I would welcome too any comments made on my submission - as movies of this calibre are well worth observation and discussion."
133,"The star of this film mainly did supporting characters, such as Alien, and this is one of the rare occasions he has a leading part, and a great one. The film starts with the lonely drifter Travis Anderson (Harry Dean Stanton) walking through the desert, till he collapses (exhaustion) in a near bar. With his identification, the man there contacts his brother Walter R. Anderson (Dean Stockwell) he hasn't seen for four years, since he disappeared. His brother takes him home on the road (when he can't get on a plane), and when they get there, Travis meets his son who Walter and his wife Aurore Clément (Anne Anderson) have looked after since he and the mother disappeared, named Hunter Anderson (Hunter Carson). After getting used to his Dad, both Hunter and Travis decide to try and find the mother, Jane (Nastassja Kinski) by finding the bank she visits every month, and luck strikes when Hunter spots her in the car park (recognised her face from photo). When Travis investigates the building she enters, he finds out she has become a peep-show stripper (stripping for someone she can't see because of two-way mirror, reflection on her side). The emotional part is slowly telling his story, as someone else, and she realises it is him. It is uncertain what happened after Jane and Hunter met each other in the hotel, and Travis wandered off, but this is an essential drama. Oh, the meaning of the title by the way, is that Travis bought a piece of land called Paris, in Texas, and his Dad joked making everyone think he was first talking about Paris, France. It won the BAFTA for Best Direction for Wim Wenders, and it was nominated for Best Film, Best Score for Ry Cooder and Best Adapted Screenplay, and it was nominated the Golden Globe for Best Foreign Film. Very good!"
134,Wow what a movie. Great storyline and just great life tale. Acting is phenomenal especially the young boy Hunter did great job. If you don't know what to watch check this movie.
135,"That quote there from another review I saw here is absolutely spot on. This is a slow movie, quite long and for most people who's attention span won't last it will completely miss the mark for them. However, I cannot emphasise enough that if you allow yourself to get invested into this story the ending is powerful. I didn't cry, wasn't left happy, just really moved in a way I can't describe.A must view for any cinema junkies like me."
136,"Bad acting, unbelievable story, and goes on for 150mins, watched to the end just because I was curious to see what the others might have liked (the final few minutes perhaps; nonetheless those were boring and predictable too) and still don't quite get why it was so highly rated"
137,"I'm not going to be able to add much to the well-deserved accolades previously laid onto this timeless gem. Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clement, and all of the rest of the cast should look back on this film and take tremendous pride in contributing to this masterpiece. WHAT A FILM!!!!"
138,A man wanders in the desert after four years of absence. who left shortly after the man disappeared. 10/10
139,"Texas, Paris is a very interesting and unique film. The story is told from a quite different perspective than usual, the storytelling is unusual. It has one of the best cinematography I've ever seen which makes this film truly beautifully looking. It's arty and inovative. One of the better slow burners."
140,"Director Win Wenders knows perfectly how to showcase and transmit, through each scene's color scheme, the emotions characters experiment.Paris, Texas will be a good movie-night selection anytime, anywhere."
141,"Not my taste but I can still see its marvelous brilliance in tempo and directing. Paris, Texas is Wim Wenders greatest work, he still has the slow tempo and his special style which perhaps is hard to like, but in this one he fulfills his longing."
142,"mild yet grandly cinematic, this film may in some ways seem understated but it lets itself get caught up in it's characters and their emotions. amazingly photographed of course and exquisitely scored the real treat and the thing that keeps me coming back to this film is it's power to move without drawing attention to itself. it is a film about normal people and the ways in which they relate to, and fail to communicate with each other. because of this there such emotional distance between the characters that you can feel it- it is what stands out- all the primary performances are amazing but they work off each other as an ensemble. paris, texas is an extremely rewarding experience- it lets us revel self-indulgently in it's beauty."
